-6	-5	13	18	9	-53	34	-23	17	10	51	-13	-26	-17	-36	27	34	-32	20	-37	23	26	-24	10	-27	-60	11	44	36	-56	39	31	8	-42	24	-22	-6	-13	23	-7	-64	-12	-49	-21	28	-23	-1	-2	-5	3	12	-14	-72	24	27	-20	24	2	27	-88	
7	48	17	-6	-3	-3	7	-29	56	10	22	-7	-41	9	68	34	-11	-46	17	22	-24	-24	27	-7	13	28	41	-18	-18	-15	-5	-59	-17	14	-44	11	24	24	-20	-6	17	5	75	-19	-32	-8	22	-27	-15	53	22	-43	17	33	-24	36	22	45	11	-11	
5	-36	-12	-2	-15	-4	-22	15	-18	-65	18	-19	-29	-30	3	8	-28	-1	3	-12	-4	27	34	16	25	-60	-25	17	7	-33	3	15	-15	-13	-4	-15	25	-41	1	0	-1	-35	-7	16	-15	-13	56	6	7	-32	-10	-43	42	9	7	-36	9	36	-3	-13	
26	-16	-31	40	4	-1	46	-5	15	4	29	5	-59	-22	10	39	15	13	26	-18	27	10	10	1	-80	20	11	35	2	12	68	-10	-30	-19	0	-6	31	11	-64	3	-24	2	4	-6	45	50	15	25	-1	2	12	-10	2	50	-43	9	9	4	24	-17	
3	-11	-4	3	0	-4	12	5	37	39	17	2	-72	0	43	-2	7	-47	-19	25	-11	21	-7	6	11	-4	15	3	-15	-12	36	-40	23	20	-64	36	5	27	7	-15	-1	47	16	-14	-44	8	-28	-9	-16	13	31	-24	4	-14	-22	10	36	1	46	0	
-25	21	-1	29	14	-30	5	-22	-16	-29	89	-33	-21	-3	-16	21	-17	-24	-23	16	5	-14	-6	-4	-26	15	32	51	28	2	10	8	16	24	-23	10	-27	-43	24	23	10	-46	30	-3	9	-4	13	-21	-18	43	-27	39	-64	-11	-13	-33	-21	16	36	-9	
-27	13	-11	-26	-34	-28	-43	-43	-21	-20	29	-51	12	-31	-12	-27	24	-22	-27	27	-19	-33	-19	19	-16	-24	18	2	-6	11	0	16	3	-29	2	10	-12	-43	23	0	42	3	15	-10	1	22	18	14	-42	27	-21	-9	12	13	14	-9	-31	-30	-58	-24	
-10	-20	25	-29	11	-9	19	2	9	7	-42	12	12	72	-20	-64	-27	-12	0	22	4	-22	0	-5	31	3	25	20	24	45	-53	35	10	-28	-6	-19	-22	32	-6	67	53	12	35	-6	7	45	-18	-14	-12	-59	-35	-4	-2	-37	18	-16	-9	-30	-13	39	
11	-43	-1	-45	-35	-28	6	30	9	-60	4	14	42	23	19	-4	-53	5	-28	-28	20	41	24	-18	22	-21	17	58	49	-1	5	41	-27	20	5	1	50	-22	-2	-9	53	-21	-26	3	-50	6	-27	44	32	-27	19	-2	26	-25	28	-10	-16	-41	-3	-23	
-9	-29	-4	-11	-40	6	12	39	24	-1	-40	0	-7	46	6	1	-17	-1	5	-2	33	4	15	-30	-6	-18	-20	45	20	43	-42	12	-5	-4	49	-47	2	-6	-51	5	44	-25	-7	17	-3	-1	-24	0	9	-17	-11	-18	31	-50	15	25	-1	-40	22	9	
31	24	37	27	17	-16	-27	-39	-2	34	39	-1	4	-20	-38	-47	17	1	-36	1	21	18	0	24	0	4	6	13	25	-1	35	9	-27	1	-23	17	-27	-14	56	-9	-4	-4	-14	-7	-9	11	60	-73	-35	20	-1	13	-19	-10	-28	-55	5	-3	6	7	
